T30,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
35,South-eastern Asia,2020,Percentage of individuals using the internet,58.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
35,South-eastern Asia,2021,Percentage of individuals using the internet,65.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
34,Southern Asia,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
34,Southern Asia,2005,Percentage of individuals using the internet,2.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
34,Southern Asia,2010,Percentage of individuals using the internet,7.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
34,Southern Asia,2015,Percentage of individuals using the internet,15.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
34,Southern Asia,2019,Percentage of individuals using the internet,31.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
34,Southern Asia,2020,Percentage of individuals using the internet,42.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
34,Southern Asia,2021,Percentage of individuals using the internet,45.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
145,Western Asia,2000,Percentage of individuals using the internet,3.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
145,Western Asia,2005,Percentage of individuals using the internet,11.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
145,Western Asia,2010,Percentage of individuals using the internet,32.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
145,Western Asia,2015,Percentage of individuals using the internet,50.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
145,Western Asia,2019,Percentage of individuals using the internet,65.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
145,Western Asia,2020,Percentage of individuals using the internet,69.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
145,Western Asia,2021,Percentage of individuals using the internet,71.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
150,Europe,2005,Percentage of individuals using the internet,39.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
150,Europe,2010,Percentage of individuals using the internet,62.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
150,Europe,2015,Percentage of individuals using the internet,74.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
150,Europe,2019,Percentage of individuals using the internet,82.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
150,Europe,2020,Percentage of individuals using the internet,85.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
150,Europe,2021,Percentage of individuals using the internet,87.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
9,Oceania,2000,Percentage of individuals using the internet,33.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
9,Oceania,2005,Percentage of individuals using the internet,47.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
9,Oceania,2010,Percentage of individuals using the internet,56.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
9,Oceania,2015,Percentage of individuals using the internet,64.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
9,Oceania,2019,Percentage of individuals using the internet,74.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
9,Oceania,2020,Percentage of individuals using the internet,78.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
9,Oceania,2021,Percentage of individuals using the internet,79.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
53,Australia and New Zealand,2000,Percentage of individuals using the internet,46.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
53,Australia and New Zealand,2005,Percentage of individuals using the internet,63.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
53,Australia and New Zealand,2010,Percentage of individuals using the internet,76.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
53,Australia and New Zealand,2015,Percentage of individuals using the internet,84.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
53,Australia and New Zealand,2019,Percentage of individuals using the internet,93.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
53,Australia and New Zealand,2020,Percentage of individuals using the internet,95.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
53,Australia and New Zealand,2021,Percentage of individuals using the internet,96.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
57,Micronesia,2000,Percentage of individuals using the internet,3.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
57,Micronesia,2005,Percentage of individuals using the internet,11.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
57,Micronesia,2010,Percentage of individuals using the internet,20.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
57,Micronesia,2015,Percentage of individuals using the internet,31.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
57,Micronesia,2019,Percentage of individuals using the internet,39.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
